Category,Name,Price,Quantity
Fresh Produce,Mini Cucumbers - 16oz Bag - Good & Gather™ (Packaging May Vary),$2.19,16oz
Fresh Produce,Organic Gala Apples - 2lb Bag - Good & Gather™,$3.59,2lb
Fresh Produce,Celery Sticks - 20oz - Good & Gather™ (Packaging May Vary),$3.89,20oz
Fresh Produce,Organic On-The-Vine Tomatoes - 1lb - Good & Gather™,$4.29,1lb
Fresh Produce,Banana - each - Good & Gather™,$0.29,N/A
Fresh Produce,Green Onions - 5.5oz - Good & Gather™,$1.29,5.5oz
Fresh Produce,Sliced White Mushrooms - 8oz - Good & Gather™,$2.59,8oz
Fresh Produce,Navel Oranges - 3lb Bag - Good & Gather™,$5.19,3lb
Fresh Produce,Baby-Cut Carrots - 1lb - Good & Gather™,$1.69,1lb
Fresh Produce,Chopped Kale - 16oz - Good & Gather™,$4.59,16oz
Fresh Produce,Broccoli Medley - 12oz - Good & Gather™,$2.69,12oz
Fresh Produce,Shaved Brussels Sprouts - 9oz - Good & Gather™,$3.39,9oz
Fresh Produce,Organic Romaine Hearts - 12oz/3ct - Good & Gather™,$5.29,12oz
Fresh Produce,Organic Bananas - 2lb - Good & Gather™,$2.49,2lb
Fresh Produce,Organic Steam-in-Bag Sugar Snap Peas - 8oz - Good & Gather™,$3.99,8oz
Fresh Produce,Baby Spinach - 5oz - Good & Gather™,$2.39,5oz
Fresh Produce,Broccoli Florets - 12oz - Good & Gather™,$2.69,12oz
Fresh Produce,Mini Sweet Peppers - 16oz - Good & Gather™ (Packaging May Vary),$3.29,16oz
Fresh Produce,Yellow Onions - 3lb Bag - Good & Gather™,$2.89,3lb
Fresh Produce,Romaine Hearts - 3ct/22oz - Good & Gather™,$3.69,3ct
Fresh Produce,Sun Beams Mandarin Oranges - 3lb - Good & Gather™,$5.39,3lb
Fresh Produce,Roma Tomatoes - 16oz - Good & Gather™ (Packaging May Vary),$1.49,16oz
Fresh Produce,Beefsteak Tomatoes - 13oz/2ct - Good & Gather™ (Packaging May Vary),$2.99,13oz
Fresh Produce,Hass Avocados - 4ct - Good & Gather™,$3.89,4ct
Meat & Seafood,Large Tail Off Peeled & Deveined Raw Shrimp - Frozen - 41-50ct per lb/16oz - Good & Gather™,$7.69,50ct
Meat & Seafood,Conventional Boneless Skinless Chicken Breast Value Pack - 2.5-5.25 lbs - price per lb - Good & Gather™,$13.45,5.25 lb
Meat & Seafood,All Natural 93/7 Ground Beef - 1lb - Good & Gather™,max price,1lb
Meat & Seafood,Buffalo-Style Chicken Bites - Frozen - 25.5oz - Good & Gather™,$7.49,25.5oz
Meat & Seafood,Shredded Chicken - 12oz - Good & Gather™,$9.49,12oz
Meat & Seafood,Grilled Chicken Breast Strips - 12oz - Good & Gather™,$7.99,12oz
Meat & Seafood,Shredded Rotisserie Seasoned Chicken - 12oz - Good & Gather™,$7.99,12oz
Meat & Seafood,Boneless & Skinless Chicken Breast - Frozen - 40oz - Good & Gather™,$7.99,40oz
Meat & Seafood,Grilled Fajita Chicken Breast Strips - 12oz - Good & Gather™,$8.69,12oz
Meat & Seafood,Tyson All Natural White Meat Fun Nuggets - Frozen - 29oz,$7.99,29oz
Meat & Seafood,Boneless Skinless Chicken Breast - 1.5-3.2lbs - price per lb - Good & Gather™,$7.99,3.2lb
Meat & Seafood,All Natural 85/15 Ground Beef - 1lb - Good & Gather™,$12.13,1lb
Meat & Seafood,Dinosaur Shaped Frozen Chicken Nuggets - 29oz - Good & Gather™,max price,29oz
Meat & Seafood,All Natural 85/15 Ground Beef - 2lbs - Good & Gather™,$6.99,2lb
Meat & Seafood,Parmesan Chicken Breast Cutlets - 20oz - Good & Gather™,$6.79,20oz
Meat & Seafood,Tyson All Natural All Natural Chicken Nuggets - Frozen - 29oz,$11.99,29oz
Snacks,Ritz Original Crackers - Fresh Stacks - 11.8oz,$3.99,11.8oz
Snacks,Cheez-It Baked Snack Crackers Variety Pack 12ct,$6.99,12ct
Snacks,Frito-Lay Variety Pack Classic Mix - 18ct,$11.99,18ct
Snacks,Sensible Portions Garden Veggie Straws Sea Salt - 6ct,$6.39,6ct
Snacks,Frito-Lay Variety Pack Flavor Mix - 18ct,$11.99,18ct
Snacks,Pringles Snack Stacks Variety Pack Potato Crisps Chips - 12.9oz/18ct,$12.59,12.9oz
Snacks,MadeGood Strawberry Granola Minis - 5ct/4.25oz,$4.99,5ct
Snacks,MadeGood Chocolate Chip Granola Mini's - 5pk,$4.99,5pk
Snacks,belVita Blueberry Breakfast Biscuits - 5 Packs,$4.69,N/A
Snacks,Frito-Lay Variety Pack Family Fun Mix - 18ct,$10.99,18ct
Snacks,Cheetos puffs cheese flavoured snacks - 8oz,$5.39,8oz
Snacks,Frito-Lay Variety Pack Baked & Popped Mix- 18ct,$11.99,18ct
Snacks,Pringles Sour Cream & Onion Potato Crisps Chips - 5.5oz,$2.59,5.5oz
Snacks,Pringles Snack Stacks BBQ Flavored Potato Crisps Chips - 5.5oz,$2.59,5.5oz
Snacks,Pringles Original Flavored Potato Crisps Chips - 5.2oz,$2.59,5.2oz
Snacks,Cheetos Crunchy Flamin Hot - 8.5oz,$5.39,8.5oz
Snacks,Doritos Nacho Cheese Flavor Party Size Tortilla Chips - 14.5oz,$6.69,14.5oz
Snacks,Frito-Lay Variety Pack Flavor Mix - 42ct,$19.99,42ct
Snacks,Cheetos Crunchy Cheese Flavored Snacks - 8.5oz,$5.39,8.5oz
Snacks,Cheetos Crunchy Flamin' Hot Limón Cheese Flavored Snacks - 8.5oz,$5.39,8.5oz
Snacks,Doritos Cool Ranch Tortilla Chips - 9.25oz,$5.19,9.25oz
Snacks,Organic Blue Corn Tortilla Chips - 12oz - Good & Gather™,$4.39,12oz
Snacks,Frito-Lay Variety Pack Doritos & Cheetos Mix - 18ct,$10.99,18ct
Snacks,Pringles Salt & Vinegar Potato Crisps Chips - 5.5oz,$2.59,5.5oz
Pantry,"HOMCOM Tall Narrow Bathroom Storage Cabinet with Doors and Shelf Adjustability, Freestanding Bathroom Linen Cabinet, Bathroom Floor Cabinet",$157.99 - $162.99,N/A
Pantry,"HOMCOM Kitchen Storage Cabinet, Sideboard Floor Cupboard with Solid Wood Top, Adjustable Shelf, and 2 Drawers for Living Room",$88.99 - $135.99,N/A
Pantry,Costway Kitchen Storage Cabinet Sideboard Buffet Cupboard Wood Sliding Door Pantry Black/Gray/Brown/White,$122.99 - $143.99,N/A
Pantry,4pc Fridge & Pantry Bin Storage Set Clear - Brightroom™,$25.00,N/A
Pantry,Large Narrow Fridge and Pantry Organizer Bin - Brightroom™,$10.00,N/A
Pantry,Medium Narrow Fridge and Pantry Organizer Bin - Brightroom™,$8.00,N/A
Pantry,"HOMCOM Sideboard Buffet Cabinet, Modern Kitchen Cabinet with 2 Drawers and Adjustable Shelves, Coffee Bar Cabinet for Living Room",$179.99 - $189.99,N/A
Pantry,Truff Pasta Sauce - Pomodoro - 17oz,$13.99,17oz
Pantry,Truff Pasta Sauce - Arrabbiata - 17oz,$13.99,17oz
Pantry,Small Wide Fridge and Pantry Organizer Bin - Brightroom™,$8.00,N/A
Pantry,Soda Fridge & Pantry Organizer Clear - Brightroom™,$14.00,N/A
Pantry,Large Wide Fridge and Pantry Organizer Bin - Brightroom™,$12.00,N/A
Pantry,Small Narrow Fridge and Pantry Organizer Bin - Brightroom™,$7.00,N/A
Pantry,Metal Stackable Wire Pantry Basket with Rubber Wood Handle Black - Brightroom™,$15.00,N/A
Pantry,Metal Stackable Wire Pantry Basket with Rubber Wood Handle White - Brightroom™,$15.00,N/A
Pantry,Large Plastic Open Face Pantry Bin White - Brightroom™,$7.00,N/A
Pantry,Medium Wide Fridge and Pantry Organizer Bin - Brightroom™,$8.00,N/A
Pantry,XL Wide Fridge and Pantry Organizer Bin - Brightroom™,$14.00,N/A
Pantry,Large Plastic Open Face Pantry Bin Black - Brightroom™,$7.00,N/A
Pantry,"HOMCOM 67"" Freestanding Kitchen Pantry, 4-Door Storage Cabinet Organizer with Adjustable Shelves and Doors, Distressed White",$146.99,N/A
Pantry,Costway Over The Door Pantry Organizer Wall Mounted Spice Rack w/ 6 Adjustable Shelves,$40.99,N/A
Pantry,"Pantry Storage Cabinet Highland Oak - Sauder: Traditional Style, 3 Adjustable Shelves, Particle Board Construction",$119.99,N/A
Pantry,"HOMCOM 70.75"" Kitchen Pantry Cabinet with Drawer and Adjustable Shelf, Freestanding Tall Storage Cabinet with 2 Double Door Cupboards",$155.99 - $159.99,N/A
Pantry,"Bottle Organizer with Labels for Kitchen and Pantry,(3-Tier, Hold 9 Bottles)-SpaceAid®",$27.98,N/A
Pantry,"HOMCOM 67"" Freestanding Kitchen Pantry, 4-Door Storage Cabinet Organizer with Adjustable Shelves and Doors, Distressed Black",$144.99,N/A
Pantry,"HOMCOM 72"" Freestanding 4-Door Kitchen Pantry, Storage Cabinet Organizer with 4-Tiers, and Adjustable Shelves",$179.99 - $185.99,N/A
Pantry,"HOMCOM 67"" Freestanding Kitchen Pantry, 4-Door Storage Cabinet Organizer with Adjustable Shelves and Doors, Distressed Gray",$139.99,N/A
Pantry,"HOMCOM 72"" Tall Kitchen Pantry Storage Cabinet, Farmhouse Freestanding Kitchen Cabinet with Barn Doors, Drawer and Adjustable Shelves, White",$189.99,N/A
Pantry,Smart Design 8-Tier Over The Door Hanging Pantry Organizer with 6 full Baskets and 2 Deep Baskets White,$40.94,N/A
Beverages,Coca-Cola Soda - 12pk/12 fl oz Cans,$7.99,12pk
Beverages,Capri Sun Variety Pack - 30pk/6 fl oz Pouches,$10.29,30pk
Beverages,Tropical Cherry Sparkling Water - 8pk/12 fl oz Cans - Good & Gather™,$3.59,8pk
Beverages,Canada Dry Fruit Splash Soda - 12pk/12 fl oz Cans,$7.89,12pk
Beverages,Purified Water - 128 fl oz (1gal) - Good & Gather™,$1.29,N/A
Beverages,Canada Dry Ginger Ale Soda - 12pk/12 fl oz Cans,$7.89,12pk
Beverages,Sprite Soda - 12pk/12 fl oz Cans,$7.99,12pk
Beverages,Diet Coke Soda - 12pk/12 fl oz Cans,$7.99,12pk
Beverages,IZZE Blackberry Sparkling Juice - 6pk/8.4 fl oz Cans,$8.59,6pk
Beverages,Distilled Water - 128 fl oz (1gal) - Good & Gather™,$1.39,N/A
Beverages,Coca-Cola Soda - 12pk/12 fl oz Cans,$7.99,12pk
Beverages,Diet Coke Soda - 12pk/12 fl oz Cans,$7.99,12pk
Beverages,Sprite Soda - 2 L Bottle,$2.69,N/A
Beverages,Cherry Cola Caffeinated Sparkling Water - 8pk/12 fl oz Cans - Good & Gather™,$3.59,8pk
Beverages,Sprite Soda - 10pk/7.5 fl oz Mini-Cans,$6.99,10pk
Beverages,Sprite Soda - 12pk/12 fl oz Cans,$7.99,12pk
Beverages,Simply Lemonade with Strawberry Juice - 52 fl oz,$2.99,N/A
Beverages,Simply Lemonade - 52 fl oz,$2.99,N/A
Beverages,Dr Pepper Soda - 12pk/12 fl oz Cans,$7.79,12pk
Beverages,100% Apple Juice - 64 fl oz Bottle - Market Pantry™,$2.19,N/A
Breakfast & Cereal,General Mills Lucky Charms Cereal ,$4.39 - $7.99,N/A
Breakfast & Cereal,Special K Red Berries Breakfast Cereal ,$4.79 - $6.99,N/A
Breakfast & Cereal,General Mills Cheerios Honey Nut Cereal ,$4.39 - $6.89,N/A
Breakfast & Cereal,Cinnamon Toast Crunch Breakfast Cereal ,$4.39 - $7.99,N/A
Breakfast & Cereal,Cinnamon Chex Gluten Free Breakfast Cereal - 12oz - General Mills,$4.99,12oz
Breakfast & Cereal,Cheerios Breakfast Cereal,$4.39 - $48.99,N/A
Breakfast & Cereal,Krave Breakfast Cereal - 17.3oz - Kellogg's,$6.19,17.3oz
Breakfast & Cereal,Trix Breakfast Cereal,$4.39 - $7.99,N/A
Breakfast & Cereal,Reese's Puffs Breakfast Cereal,$4.39 - $7.99,N/A
Breakfast & Cereal,Kellogg's Crispix Cereal Case,$5.89 - $31.99,N/A
Breakfast & Cereal,Honey Bunches of Oats Honey Roasted Cereal ,$4.39 - $6.49,N/A
Breakfast & Cereal,Chex Peanut Butter Gluten-Free Breakfast Cereal - 12.2oz - General Mills,$4.99,12.2oz
Breakfast & Cereal,Chex Gluten Free Honey Nut Breakfast Cereal - 12.5oz - General Mills,$4.99,12.5oz
Breakfast & Cereal,Breakfast Pack Cereal - 9.14oz - General Mills,$5.79,9.14oz
Breakfast & Cereal,Chex Wheat Breakfast Cereal - 14oz - General Mills,$4.99,14oz
Breakfast & Cereal,Fun Pack Breakfast Cereal - 8ct - Kellogg's,$5.99,8ct
Breakfast & Cereal,Nature's Path EnviroKidz Choco Chimps Breakfast Cereal - 10oz,$4.89,10oz
Breakfast & Cereal,Nature's Path Envirokidz Panda Puffs Breakfast Cereal - 10.6oz,$4.89,10.6oz
Breakfast & Cereal,Special K Red Berries Breakfast Cereal ,$4.79 - $6.99,N/A
Breakfast & Cereal,General Mills Lucky Charms Cereal ,$4.39 - $7.99,N/A
Breakfast & Cereal,Special K Original Breakfast Cereal - 18oz - Kellogg's,$6.19,18oz
Breakfast & Cereal,Cascadian Farm Organic Cinnamon Crunch Breakfast Cereal - 9.2oz,$5.79,9.2oz
Breakfast & Cereal,"Great Grains Selects Cereal Raisins, Dates and Pecans Breakfast Cereal - 16oz - Post",$4.99,16oz
Breakfast & Cereal,Nature's Path Heritage Flakes Breakfast Cereal - 13.25oz,$3.89,13.25oz
Breakfast & Cereal,Kellogg's Rice Krispies Cereal ,$4.79 - $27.49,N/A
Breakfast & Cereal,Quaker Oats Oatmeal Squares Brown Sugar Breakfast Cereal ,$2.99 - $6.39,N/A
Breakfast & Cereal,Kellogg's Original Frosted Mini-Wheats Breakfast Cereal,$4.79 - $6.19,N/A
Breakfast & Cereal,Honey Bunches of Oats Cereal,$5.89 - $6.49,N/A
Breakfast & Cereal,Multi-Grain Cheerios Breakfast Cereal - 9oz - General Mills,$4.39,9oz
Bakery,Voortman Vanilla Wafers - 10.6oz,$3.99,10.6oz
Bakery,Pepperidge Farm Milano Double Dark Chocolate Cookies - 7.5oz,$4.49,7.5oz
Bakery,Chocolate Chip Cookies - 16ct/22.4oz - Favorite Day™,$7.69,16ct
Bakery,Cheese Danish - 14oz - Favorite Day™,$5.49,14oz
Bakery,Assorted Mini Donuts - 11oz - Favorite Day™,$4.79,11oz
Bakery,Mini Cinnamon Rolls - 12oz - Favorite Day™,$5.49,12oz
Bakery,Betty Crocker Batchables Chocolate Chip Cookie Mix - 28oz,$6.99,28oz
Bakery,Betty Crocker Mug Treats Soft-Baked Chocolate Chip Cookie - 4ct/13.9oz,$4.69,4ct
Bakery,Betty Crocker Snickerdoodle Cookie Mix - 17.9oz,$3.69,17.9oz
Bakery,Blueberry White Chocolate Chunk Mini Scones - 10.25oz - Favorite Day™,$5.49,10.25oz
Bakery,Blueberry Streusel Muffins - 4ct/14oz - Favorite Day™,$3.99,4ct
Bakery,Orange Frosted Cookies - 13.5oz/10ct - Favorite Day™,$4.99,13.5oz
Bakery,Halloween Decorated Cookie-Jack-o-lantern - 2.12oz - Favorite Day™,$2.49,2.12oz
Bakery,Blueberry Streusel & Cinnamon Coffee Cake Muffins Variety Pack - 14oz/4ct - Favorite Day™,$3.99,14oz
Bakery,Mini Orange Cranberry Scones - 10.25oz - Favorite Day™,$5.49,10.25oz
Bakery,Harvest Vanilla Mini Cupcakes - 10oz/12ct - Favorite Day™,$4.49,10oz
Dairy & Eggs,Cage-Free Fresh Grade A Large Brown Eggs - 12ct - Good & Gather™,$5.19,12ct
Dairy & Eggs,Cage-Free Large White Fresh Grade A Eggs (CA SEFS Compliant) - 24oz/12ct - Good & Gather™ (Packaging May Vary),$2.69,24oz
Dairy & Eggs,Cage-Free Large White Fresh Grade A Eggs (CA SEFS Compliant) - 36oz/18ct - Good & Gather™ (Packaging May Vary),$4.59,36oz
Dairy & Eggs,Shredded Mexican-Style Cheese - 8oz - Good & Gather™,$2.49,8oz
Dairy & Eggs,Vital Farms Organic Pasture-Raised Grade A Large Eggs - 12ct,$10.99,12ct
Dairy & Eggs,Shredded Mozzarella Cheese - 8oz - Good & Gather™,$2.49,8oz
Dairy & Eggs,Happy Egg Large Brown Organic Free Range Grade A Eggs - 12ct,$6.89,12ct
Dairy & Eggs,Half & Half - 32 fl oz (1qt) - Good & Gather™,$3.19,N/A
Frozen,Totino's Pepperoni Frozen Pizza Rolls - 24.8oz,$5.99,24.8oz
Frozen,Deep Indian Gluten Free Frozen Spinach Paneer - 10oz,$6.29,10oz
Frozen,Frozen Spicy Korean Pork Potstickers - 11oz - Good & Gather™,$6.59,11oz
Frozen,Frozen Stuffed Mini Rigatoni in a Marinara Sauce -with Hidden Vegetables - 8oz - Good & Gather™,$2.99,8oz
Frozen,Wicked Kitchen Frozen Korean Inspired Bowl - 10oz,$5.99,10oz
Frozen,Frozen Breaded Mozzarella Sticks - 32oz - Market Pantry™,$8.79,32oz
Frozen,Totino's Pepperoni Party Frozen Pizza - 10.2oz,$2.29,10.2oz
Frozen,Deep Indian Frozen Gluten Free Chicken Curry - 9oz,$6.29,9oz
Frozen,Deep Indian Kitchen Gluten Free Frozen Butter Chicken with Rice - 9oz,$6.29,9oz
Frozen,Frozen Chicken and Vegetable Potstickers - 12oz - Good & Gather™,$6.59,12oz
Frozen,Frozen Pork Soup Dumplings - 6oz/6ct - Good & Gather™,$6.59,6oz
Frozen,Stouffer's Family Size Frozen Lasagna with Meat & Sauce - 38oz,$8.99,38oz
Frozen,Mini Corn Dogs Frozen - 32oz - Market Pantry™,$9.79,32oz
Frozen,Frozen Uncured Bacon Wrapped Cream Cheese Stuffed Jalapenos - 6.35oz/8ct - Good & Gather™,$6.59,6.35oz
Frozen,Wicked Kitchen Frozen Peng Panang Tofu Curry - 10oz,$5.99,10oz
Frozen,Frozen Spanakopita - 8.5oz/12ct - Good & Gather™,$6.59,8.5oz
Frozen,Frozen Cream Cheese Wontons - 6.7oz/10ct - Good & Gather™,$6.59,6.7oz
Frozen,Frozen Vegetable Spring Rolls - 10oz/5ct - Good & Gather™,$6.59,10oz
Frozen,Stouffer's Frozen Lasagna with Meat & Sauce Frozen Dinner - 10.5oz,$3.99,10.5oz
Frozen,Frozen Jalapeno Cream Cheese Wontons - 6.7oz/10ct - Good & Gather™,$6.59,6.7oz
Frozen,Stouffer's Salisbury Steak with Mac and Cheese Frozen Meal - 9.625oz,$3.99,9.625oz
Frozen,Stouffer's Spaghetti With Meat Sauce Frozen Dinner - 12oz,$3.99,12oz
Frozen,Stouffer's Classic Meatloaf Frozen Dinner - 9.875oz,$3.99,9.875oz
Frozen,Stouffer's Spaghetti With Meatballs Frozen Dinner - 12.625oz,$3.99,12.625oz
Frozen,Stouffer's Party Size Frozen Lasagna with Meat & Sauce - 90oz,$17.49,90oz
